Fuel,2025,2024,2023,2022,RTO Office
LNG,28,0,0,0,GADCHIROLI_-_MH33
NOT APPLICABLE,918,496,399,344,GADCHIROLI_-_MH33
PETROL,13940,14654,11533,10516,GADCHIROLI_-_MH33
PETROL/CNG,50,11,6,12,GADCHIROLI_-_MH33
PETROL(E20)/CNG,6,0,0,0,GADCHIROLI_-_MH33
PETROL(E20)/HYBRID,33,0,0,0,GADCHIROLI_-_MH33
PETROL/ETHANOL,4054,129,46,0,GADCHIROLI_-_MH33
PETROL/HYBRID,99,130,106,103,GADCHIROLI_-_MH33
PURE EV,460,176,0,0,GADCHIROLI_-_MH33
STRONG HYBRID EV,7,3,0,0,GADCHIROLI_-_MH33
CNG ONLY,19,14,0,0,GONDHIA_-_MH35
DIESEL,3728,2578,2047,2132,GONDHIA_-_MH35
DIESEL/HYBRID,0,1,0,0,GONDHIA_-_MH35
ELECTRIC(BOV),370,1372,1110,371,GONDHIA_-_MH35
NOT APPLICABLE,708,722,488,343,GONDHIA_-_MH35
PETROL,15559,19934,16918,15158,GONDHIA_-_MH35
PETROL/CNG,410,220,66,40,GONDHIA_-_MH35
PETROL(E20)/CNG,38,0,0,0,GONDHIA_-_MH35
PETROL(E20)/HYBRID,24,0,0,0,GONDHIA_-_MH35
PETROL/ETHANOL,6685,99,46,0,GONDHIA_-_MH35
PETROL/HYBRID,150,202,161,103,GONDHIA_-_MH35
PURE EV,2729,1198,0,0,GONDHIA_-_MH35
STRONG HYBRID EV,25,22,0,0,GONDHIA_-_MH35
CNG ONLY,433,443,317,179,ICHALKARANJI_-_MH51
DIESEL,2260,1905,2262,2271,ICHALKARANJI_-_MH51
DIESEL/HYBRID,9,5,1,1,ICHALKARANJI_-_MH51
ELECTRIC(BOV),250,2169,4329,2773,ICHALKARANJI_-_MH51
ETHANOL,0,1,0,0,ICHALKARANJI_-_MH51
LPG ONLY,6,9,16,13,ICHALKARANJI_-_MH51
NOT APPLICABLE,296,334,232,269,ICHALKARANJI_-_MH51
PETROL,16356,16499,16892,16482,ICHALKARANJI_-_MH51
PETROL/CNG,1265,1033,918,739,ICHALKARANJI_-_MH51
